Firma,Miasto,Telefon,Czy mają własną stronę?,Strona WWW,Instagram,Facebook,Booksy,YouTube,TikTok,Jakość,Notatki scrapera
Atelier Pani Wachecka,Moszczenica,,Nie,,,Tak,,,,,"Bardzo dobra widoczność: brak własnej strony, ale aktywne social media (Facebook) i 26 opinii Google śr. 4.5 — najlepszy typ leada (dużo ruchu, zero www). FB(raw): http://www.facebook.com/paniwachecka | Maps: https://www.google.com/maps/place/Atelier+Pani+Wachecka/data=!4m7!3m6!1s0x471a27f92655f671:0x97a591e11aea9c72!8m2!3d51.5036078!4d19.7126442!16s%2Fg%2F11k7j8dgsf!19sChIJcfZVJvknGkcRcpzqGuGRpZc?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
"Foto Punkt ""Cudowne Ujęcia"" Kamieńsk",Kamieńsk,577250500,Tak,https://cudowne-ujecia.pl/,Tak,,,,,,"Ma własną stronę WWW (https://cudowne-ujecia.pl/). Faktycznie firma z Radomska (gadżety z nadrukiem foto), Kamieńsk to tylko punkt odbioru — niska trafność jako 'lokalny fotograf'. IG: https://www.instagram.com/fotopunkt_cudowneujecia.pl/ | Maps: https://www.google.com/maps/place/Foto+Punkt+%22Cudowne+Uj%C4%99cia%22+Kamie%C5%84sk/data=!4m7!3m6!1s0x471a0374bf86be09:0x5a4fe2657ad051b!8m2!3d51.2040371!4d19.4972855!16s%2Fg%2F11fjxxf1_b!19sChIJCb6Gv3QDGkcRGwWtVyb-pAU?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
"Studio ""Awangarda""",Kamieńsk,,Nie,,,Tak,,,,,"Uzupełniony profil Google + obecność w social media (Facebook), ale niewielka skala (mało opinii/obserwujących) — brak własnej strony. Uwaga: strona z Google Maps to katalog/agregator, nie własna domena. Działa jako Bełchatów/Kamieńsk pod szyldem Radosław Strózik, 2199 polubień FB. FB: https://www.facebook.com/fotoawangarda/ | Maps: https://www.google.com/maps/place/Studio+%22Awangarda%22/data=!4m7!3m6!1s0x471a0290f1c66ba7:0xff4be695d144f703!8m2!3d51.204514!4d19.4966372!16s%2Fg%2F11j08bhb_6!19sChIJp2vG8ZACGkcRA_dE0ZXmS_8?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Studio Foto-Fokus,Radomsko,519532158,Tak,http://studio-foto-fokus.pl/,,,,,,,Ma własną stronę WWW (http://studio-foto-fokus.pl/). Maps: https://www.google.com/maps/place/Studio+Foto-Fokus/data=!4m7!3m6!1s0x471755588d508b3d:0xdf9076879a6105a9!8m2!3d51.0685991!4d19.4391577!16s%2Fg%2F1tlw7tqq!19sChIJPYtQjVhVF0cRqQVhmod2kN8?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
DRW Studio / Dominika Wojtaszek fotografia,Radomsko,,Nie,,Tak,,,,,,"Bardzo dobra widoczność: brak własnej strony, ale aktywne social media (Instagram) i 46 opinii Google śr. 5.0 — najlepszy typ leada (dużo ruchu, zero www). IG(raw): https://www.instagram.com/dominikawojtaszekfotografia | Maps: https://www.google.com/maps/place/DRW+Studio+%2F+Dominika+Wojtaszek+fotografia/data=!4m7!3m6!1s0x2af5b1cfcb13ce93:0x421ca437eb618317!8m2!3d51.0660251!4d19.4489607!16s%2Fg%2F11yzvvn7wm!19sChIJk84Ty8-x9SoRF4Nh6zekHEI?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
FOTOGRAF KOŁOWROTKIEWICZ,Radomsko,603507807,Tak,http://www.odbitki24.com/,,,,,,,Ma własną stronę WWW (http://www.odbitki24.com/). Maps: https://www.google.com/maps/place/FOTOGRAF+KO%C5%81OWROTKIEWICZ/data=!4m7!3m6!1s0x47175558cf3ab633:0xaa4964e0a6c48a42!8m2!3d51.0679749!4d19.4408215!16s%2Fg%2F1tfrfhst!19sChIJM7Y6z1hVF0cRQorEpuBkSao?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Foto-Margot. Usługi fotograficzne,Radomsko,533833338,Tak,http://www.fotomargot.pl/,,,,,,,Ma własną stronę WWW (http://www.fotomargot.pl/). Maps: https://www.google.com/maps/place/Foto-Margot.+Us%C5%82ugi+fotograficzne/data=!4m7!3m6!1s0x4717555f343e6a77:0x94bb0050c14214c!8m2!3d51.0669682!4d19.4418583!16s%2Fg%2F1td2smyp!19sChIJd2o-NF9VF0cRTCEUDAWwSwk?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Studio fotograficzne Aldo - Belica & Kercz,Radomsko,602632001,Tak,http://fotoaldo.pl/,,,,,,,Ma własną stronę WWW (http://fotoaldo.pl/). Maps: https://www.google.com/maps/place/Studio+fotograficzne+Aldo+-+Belica+%26+Kercz/data=!4m7!3m6!1s0x4717555e5f9f4ed1:0x996b32c344f018fc!8m2!3d51.0656048!4d19.4445595!16s%2Fg%2F1v4k57vn!19sChIJ0U6fX15VF0cR_BjwRMMya5k?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Dominika Gaik Fotografia Ślubna i Rodzinna & sesje w studio i plenerze,Radomsko,519402534,Tak,http://www.dominikagaik.com/,,,,,,,Ma własną stronę WWW (http://www.dominikagaik.com/). Maps: https://www.google.com/maps/place/Dominika+Gaik+Fotografia+%C5%9Alubna+i+Rodzinna+%26+sesje+w+studio+i+plenerze/data=!4m7!3m6!1s0x40b69d13ed2e8781:0x93d8c194115f16c7!8m2!3d51.0747042!4d19.4395473!16s%2Fg%2F11rcmzh92_!19sChIJgYcu7ROdtkARxxZfEZTB2JM?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Jakub Placzyński - Fotograf & Content Creator Radomsko,Radomsko,697990183,Tak,https://jakubplaczynski.com/,,,,,,,Ma własną stronę WWW (https://jakubplaczynski.com/). Maps: https://www.google.com/maps/place/Jakub+Placzy%C5%84ski+-+Fotograf+%26+Content+Creator+Radomsko/data=!4m7!3m6!1s0x4719ffcceb5efb6f:0xde2929c9d61fa85f!8m2!3d51.081076!4d19.4654493!16s%2Fg%2F11wy124gys!19sChIJb_te68z_GUcRX6gf1skpKd4?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
"Maciej Kowalski Fotografia - fotografia ślubna, chrzty święte",Radomsko,791383858,Nie,,,Tak,,,,,"Bardzo dobra widoczność: brak własnej strony, ale aktywne social media (Facebook) i 42 opinii Google śr. 5.0 — najlepszy typ leada (dużo ruchu, zero www). FB: https://www.facebook.com/maciejkowalskifotografia/ | Maps: https://www.google.com/maps/place/Maciej+Kowalski+Fotografia+-+fotografia+%C5%9Blubna,+chrzty+%C5%9Bwi%C4%99te/data=!4m7!3m6!1s0x4800468edbad754d:0xa7e8915ded30a4cd!8m2!3d51.0541415!4d19.4365909!16s%2Fg%2F11sqct1hrd!19sChIJTXWt245GAEgRzaQw7V2R6Kc?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Zaczarowane Ujęcia Marcin Mielczarek,Radomsko,780601701,Tak,http://www.zaczarowaneujecia.pl/,,,,,,,Ma własną stronę WWW (http://www.zaczarowaneujecia.pl/). Maps: https://www.google.com/maps/place/Zaczarowane+Uj%C4%99cia+Marcin+Mielczarek/data=!4m7!3m6!1s0x471755b946c3aad7:0x160fddd064adf598!8m2!3d51.0668847!4d19.4480097!16s%2Fg%2F11q3_r01sh!19sChIJ16rDRrlVF0cRmPWtZNDdDxY?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Julia i Kuba fotografydwa •FOTOGRAFIA & FILM ŚLUBNY• Gdańsk | Radomsko | Cała Polska,Radomsko,,Nie,,Tak,,,,,,"Bardzo dobra widoczność: brak własnej strony, ale aktywne social media (Instagram) i 28 opinii Google śr. 5.0 — najlepszy typ leada (dużo ruchu, zero www). IG(raw): https://www.instagram.com/fotografydwa/ | Maps: https://www.google.com/maps/place/Julia+i+Kuba+fotografydwa+%E2%80%A2FOTOGRAFIA+%26+FILM+%C5%9ALUBNY%E2%80%A2+Gda%C5%84sk+%7C+Radomsko+%7C+Ca%C5%82a+Polska/data=!4m7!3m6!1s0x4719ffec34ea8f51:0x244cc20085fab55a!8m2!3d51.1049245!4d19.4551454!16s%2Fg%2F11pd7gs731!19sChIJUY_qNOz_GUcRWrX6hQDCTCQ?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Dobre Filmy i Fotografia,Radomsko,505114557,Tak,http://www.dobrefilmyifotografia.pl/,,,,,,,Ma własną stronę WWW (http://www.dobrefilmyifotografia.pl/). Maps: https://www.google.com/maps/place/Dobre+Filmy+i+Fotografia/data=!4m7!3m6!1s0x4719ff9b7f712b05:0x7e0f8e5ec46c986a!8m2!3d51.1035954!4d19.4633321!16s%2Fg%2F11bymyzqrn!19sChIJBStxf5v_GUcRaphsxF6OD34?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
SzymanowskiFoto - mobilne usługi foto & video,Radomsko,790239908,Nie,,,Tak,,,,,"Uzupełniony profil Google (9 opinii, śr. 5.0) + obecność w social media (Facebook), ale niewielka skala (mało opinii/obserwujących) — brak własnej strony. FB(raw): http://facebook.com/szymanowskifoto | Maps: https://www.google.com/maps/place/SzymanowskiFoto+-+mobilne+us%C5%82ugi+foto+%26+video/data=!4m7!3m6!1s0x47175565ea9afd91:0x9bc2764b6f908d4b!8m2!3d51.097921!4d19.426751!16s%2Fg%2F11h441h5l0!19sChIJkf2a6mVVF0cRS42Qb0t2wps?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Fotograf Radomsko StoryStudio,Radomsko,516279069,Tak,https://www.storystudiofoto.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15209312588140754807,,,,,,,Ma własną stronę WWW (https://www.storystudiofoto.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15209312588140754807). Maps: https://www.google.com/maps/place/Fotograf+Radomsko+StoryStudio/data=!4m7!3m6!1s0x47175537a58ec161:0x708ec00308989529!8m2!3d51.0691063!4d19.4310675!16s%2Fg%2F11mzhdmk52!19sChIJYcGOpTdVF0cRKZWYCAPAjnA?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1 | Widoczny też w wynikach dla: Radomsko
"Filmowanie & Fotografia ""Cudowne Ujęcia""",Radomsko,793004002,Tak,http://cudowne-ujecia.pl/,,,,,,,Ma własną stronę WWW (http://cudowne-ujecia.pl/). Maps: https://www.google.com/maps/place/Filmowanie+%26+Fotografia+%22Cudowne+Uj%C4%99cia%22/data=!4m7!3m6!1s0x47175566a45c1605:0xd2f5c5213ef841f5!8m2!3d51.0856937!4d19.4921489!16s%2Fg%2F1yfh_j0y3!19sChIJBRZcpGZVF0cR9UH4PiHF9dI?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Sky Nereid,Radomsko,737507595,Tak,https://skynereid.wordpress.com/,,,,,,,Ma własną stronę WWW (https://skynereid.wordpress.com/). Maps: https://www.google.com/maps/place/Sky+Nereid/data=!4m7!3m6!1s0x428ea364f6071a87:0xcb3f2f6096e4bfdf!8m2!3d51.038888!4d19.4645211!16s%2Fg%2F11s3crmr9p!19sChIJhxoH9mSjjkIR37_klmAvP8s?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1 | Widoczny też w wynikach dla: Radomsko
Anna Rybak-Bareła Fotografia,Radomsko,507408181,Nie,,,,,,,,"Skąpy profil Google (3 opinii, śr. 5.0) — nie wykryto automatycznie FB/IG/Booksy. Social media NIE zweryfikowane indywidualnie (za duża skala). Maps: https://www.google.com/maps/place/Anna+Rybak-Bare%C5%82a+Fotografia/data=!4m7!3m6!1s0x47175546c804c3bd:0x9e81c76a57335607!8m2!3d51.0643866!4d19.4625795!16s%2Fg%2F11k3pl1pmz!19sChIJvcMEyEZVF0cRB1YzV2rHgZ4?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1 | Widoczny też w wynikach dla: Radomsko"
Narayan Image,Radomsko,,Nie,,,,,,,,"Skąpy profil Google (2 opinii, śr. 5.0) — nie wykryto automatycznie FB/IG/Booksy. Social media NIE zweryfikowane indywidualnie (za duża skala). Maps: https://www.google.com/maps/place/Narayan+Image/data=!4m7!3m6!1s0x47175576e93809b9:0x978b2afcb06ed995!8m2!3d51.0668544!4d19.4449387!16s%2Fg%2F11vs_bjvlg!19sChIJuQk46XZVF0cRldlusPwqi5c?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Kantylena - fotografia i filmowanie,Radomsko,609666437,Tak,https://www.kantylena.pl/,,,,,,,Ma własną stronę WWW (https://www.kantylena.pl/). Maps: https://www.google.com/maps/place/Kantylena+-+fotografia+i+filmowanie/data=!4m7!3m6!1s0x4710abb29ad3b44b:0xb726dac4c79672b1!8m2!3d51.0729599!4d19.4137299!16s%2Fg%2F11fpqsqbbr!19sChIJS7TTmrKrEEcRsXKWx8TaJrc?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1 | Widoczny też w wynikach dla: Radomsko
Justyna Maniecka Fotografia,Radomsko,503391255,Nie,,Tak,,,,,,"Uzupełniony profil Google (2 opinii, śr. 5.0) + obecność w social media (Instagram), ale niewielka skala (mało opinii/obserwujących) — brak własnej strony. IG(raw): https://www.instagram.com/manieckafotografia | Maps: https://www.google.com/maps/place/Justyna+Maniecka+Fotografia/data=!4m7!3m6!1s0x4719ff8307245931:0xf6d4bb47b5614070!8m2!3d51.103665!4d19.4633819!16s%2Fg%2F11pz32jhnq!19sChIJMVkkB4P_GUcRcEBhtUe71PY?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Sebastian Gałwa Fotograf Ślubny | Okolicznościowy,Radomsko,516811946,Tak,http://sebastiangalwa.pl/,,,,,,,Ma własną stronę WWW (http://sebastiangalwa.pl/). Maps: https://www.google.com/maps/place/Sebastian+Ga%C5%82wa+Fotograf+%C5%9Alubny+%7C+Okoliczno%C5%9Bciowy/data=!4m7!3m6!1s0x4717550045410cc5:0xb20481c9451e4234!8m2!3d51.0679698!4d19.4241245!16s%2Fg%2F11w3km_w3w!19sChIJxQxBRQBVF0cRNEIeRcmBBLI?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
"""CZARODZIEJ"" fotografia i film",Radomsko,505604930,Nie,,,Tak,,,,,"Uzupełniony profil Google (7 opinii, śr. 5.0) + obecność w social media (Facebook), ale niewielka skala (mało opinii/obserwujących) — brak własnej strony. FB: https://www.facebook.com/p/Czarodziej-Film-i-Fotografia-100077469534669/ | Maps: https://www.google.com/maps/place/%22CZARODZIEJ%22+fotografia+i+film/data=!4m7!3m6!1s0x47175569fd01f3b1:0x8b69e5f7b87262b!8m2!3d51.0546892!4d19.4408694!16s%2Fg%2F1pv61bg0j!19sChIJsfMB_WlVF0cRKyaHe1-etgg?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Studio Filmowe - Film i Fotografia Perspektyw.pl,Radomsko,509515719,Tak,http://www.perspektyw.pl/,,,,,,,Ma własną stronę WWW (http://www.perspektyw.pl/). Maps: https://www.google.com/maps/place/Studio+Filmowe+-+Film+i+Fotografia+Perspektyw.pl/data=!4m7!3m6!1s0x4719ff05b95b6f7b:0x1e7004fe33f11b30!8m2!3d51.0784122!4d19.463626!16s%2Fg%2F11m2hcw08s!19sChIJe29buQX_GUcRMBvxM_4EcB4?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
PanKacprzak Fotografia,Radomsko,512397040,Tak,http://www.pankacprzak.com/,,,,,,,Ma własną stronę WWW (http://www.pankacprzak.com/). Maps: https://www.google.com/maps/place/PanKacprzak+Fotografia/data=!4m7!3m6!1s0x471755603ec9f9cd:0x852df8f1297a7d!8m2!3d51.0668486!4d19.451758!16s%2Fg%2F1w2yy5z5!19sChIJzfnJPmBVF0cRfXop8fgthQA?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Kozia Chatka naturalne sery z mleka kóz anglonubijskich. Fotoluxon Ewa Kluza Fotografia,Radomsko,,Nie,,,Tak,,,,,"Uzupełniony profil Google (2 opinii, śr. 5.0) + obecność w social media (Facebook), ale niewielka skala (mało opinii/obserwujących) — brak własnej strony. FB(raw): https://www.facebook.com/Fotoluxon-Ewa-Kluza-fotografia-104002091600371 | Maps: https://www.google.com/maps/place/Kozia+Chatka+naturalne+sery+z+mleka+k%C3%B3z+anglonubijskich.+Fotoluxon+Ewa+Kluza+Fotografia/data=!4m7!3m6!1s0x4719f9b52b833755:0xfa83292ab6b667ea!8m2!3d51.0666414!4d19.4447557!16s%2Fg%2F11rd9h1b9z!19sChIJVTeDK7X5GUcR6me2tiopg_o?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Bartek Cieślik Image,Radomsko,,Nie,,,,,,,,Skąpy profil Google (brak opinii) — nie wykryto automatycznie FB/IG/Booksy. Social media NIE zweryfikowane indywidualnie (za duża skala). Maps: https://www.google.com/maps/place/Bartek+Cie%C5%9Blik+Image/data=!4m7!3m6!1s0x471755d06024260b:0x20163f13da449841!8m2!3d51.067915!4d19.444595!16s%2Fg%2F11lym6dwg8!19sChIJCyYkYNBVF0cRQZhE2hM_FiA?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Fotograf Kierebiński,Tomaszów Mazowiecki,447248698,Tak,https://fotokierebinscy.pl/,,,,,,,Ma własną stronę WWW (https://fotokierebinscy.pl/). Maps: https://www.google.com/maps/place/Fotograf+Kierebi%C5%84ski/data=!4m7!3m6!1s0x4719852f499d6d3f:0x19d57973539e2deb!8m2!3d51.530783!4d20.004059!16s%2Fg%2F11g718pbrv!19sChIJP22dSS-FGUcR6y2eU3N51Rk?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Super Foto,Tomaszów Mazowiecki,447252521,Nie,,,,,,,,"Uzupełniony profil Google (41 opinii, śr. 4.6), zdjęcia — ale brak Facebooka, Instagrama i Booksy (zweryfikowano). Maps: https://www.google.com/maps/place/Super+Foto/data=!4m7!3m6!1s0x4719852faaaaaaab:0x924a3299e6c77da5!8m2!3d51.5300191!4d20.0046169!16s%2Fg%2F11csqcxh5b!19sChIJq6qqqi-FGUcRpX3H5pkySpI?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
DWB FOTO Dawid Bożyk,Tomaszów Mazowiecki,780600131,Nie,,,,,,,,"Uzupełniony profil Google (74 opinii, śr. 5.0), zdjęcia — ale brak Facebooka, Instagrama i Booksy (zweryfikowano). Maps: https://www.google.com/maps/place/DWB+FOTO+Dawid+Bo%C5%BCyk/data=!4m7!3m6!1s0x471985eb7a3fd483:0xe8cedcfb2284b46a!8m2!3d51.5290501!4d20.0193307!16s%2Fg%2F11p12mxpb0!19sChIJg9Q_euuFGUcRarSEIvvczug?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
FOTOGRAF studio jaskrawo Tomaszów Mazowiecki,Tomaszów Mazowiecki,500651951,Tak,https://studiojaskrawo.pl/,,,,,,,Ma własną stronę WWW (https://studiojaskrawo.pl/). Maps: https://www.google.com/maps/place/FOTOGRAF+studio+jaskrawo+Tomasz%C3%B3w+Mazowiecki/data=!4m7!3m6!1s0x47198566383f3b2b:0x9cd3052473322ec9!8m2!3d51.544075!4d20.0133719!16s%2Fg%2F11hdwx0ks0!19sChIJKzs_OGaFGUcRyS4ycyQF05w?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
WJ PHOTOGRAPHY SP. Z O.O.,Tomaszów Mazowiecki,666137438,Tak,https://wiolajozwik.pl/,,,,,,,Ma własną stronę WWW (https://wiolajozwik.pl/). Maps: https://www.google.com/maps/place/WJ+PHOTOGRAPHY+SP.+Z+O.O./data=!4m7!3m6!1s0x47199b29b3af68db:0xd28a05854bb77177!8m2!3d51.5338919!4d20.037975!16s%2Fg%2F1vfp2crc!19sChIJ22ivsymbGUcRd3G3S4UFitI?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Zacny Fotograf,Tomaszów Mazowiecki,514162241,Tak,http://www.zacnyfotograf.pl/,,,,,,,Ma własną stronę WWW (http://www.zacnyfotograf.pl/). Maps: https://www.google.com/maps/place/Zacny+Fotograf/data=!4m7!3m6!1s0x4719856c876a1c57:0xeaf949378d3cb745!8m2!3d51.5311945!4d20.0086471!16s%2Fg%2F11gr5qbpmt!19sChIJVxxqh2yFGUcRRbc8jTdJ-eo?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Fotograf,Tomaszów Mazowiecki,,Nie,,,,,,,,"Uzupełniony profil Google (7 opinii, śr. 5.0) — nie wykryto automatycznie FB/IG/Booksy. Social media NIE zweryfikowane indywidualnie (za duża skala) — sprawdzić ręcznie przed telefonem. Maps: https://www.google.com/maps/place/Fotograf/data=!4m7!3m6!1s0x4719852c998af9f7:0x807e3f57d4abc6a0!8m2!3d51.5290839!4d20.0194343!16s%2Fg%2F11hccrq4pd!19sChIJ9_mKmSyFGUcRoMar1Fc_foA?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Foto-Produkt,Tomaszów Mazowiecki,696804544,Tak,http://www.produktowe.com.pl/,,,,,,,Ma własną stronę WWW (http://www.produktowe.com.pl/). Maps: https://www.google.com/maps/place/Foto-Produkt/data=!4m7!3m6!1s0x471bcad733303af7:0x1d5df32bcf572e52!8m2!3d51.543778!4d20.0147448!16s%2Fg%2F11b6lm6w0x!19sChIJ9zowM9fKG0cRUi5XzyvzXR0?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
SercemKadrowane,Tomaszów Mazowiecki,697617081,Nie,,,Tak,,,,,"Bardzo dobra widoczność: brak własnej strony, ale aktywne social media (Facebook) i 31 opinii Google śr. 5.0 — najlepszy typ leada (dużo ruchu, zero www). FB: https://www.facebook.com/people/SercemKadrowane/100063650524561/ | Maps: https://www.google.com/maps/place/SercemKadrowane/data=!4m7!3m6!1s0x4719853c6bddab89:0x7ced2477862a9721!8m2!3d51.529154!4d19.9965806!16s%2Fg%2F11fk535b1n!19sChIJiavdazyFGUcRIZcqhnck7Xw?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Foto Szopa - pracownia fotografii produktowej,Tomaszów Mazowiecki,793534231,Nie,,,Tak,,,,,"Uzupełniony profil Google (1 opinii, śr. 5.0) + obecność w social media (Facebook), ale niewielka skala (mało opinii/obserwujących) — brak własnej strony. FB(raw): http://www.facebook.com/fotoszopastudio | Maps: https://www.google.com/maps/place/Foto+Szopa+-+pracownia+fotografii+produktowej/data=!4m7!3m6!1s0x47198527c6891855:0x837f9e3bcf75c29e!8m2!3d51.5314171!4d20.0068362!16s%2Fg%2F11g8x8mx5h!19sChIJVRiJxieFGUcRnsJ1zzuef4M?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
Labo-Foto. Handel i usługi fotograficzne. Słoma D.,Tomaszów Mazowiecki,447247316,Nie,,,Tak,,,,,"Bardzo dobra widoczność: brak własnej strony, ale aktywne social media (Facebook) i 22 opinii Google śr. 4.2 — najlepszy typ leada (dużo ruchu, zero www). FB: https://www.facebook.com/p/Labo-Foto-Studio-100066899748937/ | Maps: https://www.google.com/maps/place/Labo-Foto.+Handel+i+us%C5%82ugi+fotograficzne.+S%C5%82oma+D./data=!4m7!3m6!1s0x471985261f00b83f:0xa8ca62672f100238!8m2!3d51.5353584!4d20.0089311!16s%2Fg%2F1tlmm1y9!19sChIJP7gAHyaFGUcROAIQL2diyqg?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1"
O! Takie małe atelier,Tomaszów Mazowiecki,573743404,Tak,https://otakiemaleatelier.pl/,,Tak,,,,,Ma własną stronę WWW (https://otakiemaleatelier.pl/). FB: https://www.facebook.com/otakiemaleatelier/ | Maps: https://www.google.com/maps/place/O!+Takie+ma%C5%82e+atelier/data=!4m7!3m6!1s0x471985f884863555:0x72fddacb40e142e1!8m2!3d51.5311945!4d20.0086471!16s%2Fg%2F11q3x6db4p!19sChIJVTWGhPiFGUcR4ULhQMva_XI?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Studio Fotografii Fiks Zdjęcia Biznesowe Tomaszów Mazowiecki,Tomaszów Mazowiecki,692725555,Tak,https://biznesowefiks.pl/,,,,,,,Ma własną stronę WWW (https://biznesowefiks.pl/). Maps: https://www.google.com/maps/place/Studio+Fotografii+Fiks+Zdj%C4%99cia+Biznesowe+Tomasz%C3%B3w+Mazowiecki/data=!4m7!3m6!1s0x471bcbe11fa4046d:0xe877d24cc9881375!8m2!3d51.543778!4d20.0147448!16s%2Fg%2F11vlg59kmd!19sChIJbQSkH-HLG0cRdROIyUzSd-g?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
HDstudios,Tomaszów Mazowiecki,793387842,Tak,http://www.hdstudios.pl/,,,,,,,Ma własną stronę WWW (http://www.hdstudios.pl/). Maps: https://www.google.com/maps/place/HDstudios/data=!4m7!3m6!1s0x47199a61d5a7947b:0x988e4460c5cb4398!8m2!3d51.5445282!4d20.0111786!16s%2Fg%2F11b7q3nbg6!19sChIJe5Sn1WGaGUcRmEPLxWBEjpg?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
Studio Fennel - Fotografia produktowa,Tomaszów Mazowiecki,509862687,Tak,http://studiofennel.pl/,,,,,,,Ma własną stronę WWW (http://studiofennel.pl/). Maps: https://www.google.com/maps/place/Studio+Fennel+-+Fotografia+produktowa/data=!4m7!3m6!1s0x4719853a8fcf9769:0xbdd77e0f85ade2f3!8m2!3d51.5315706!4d20.0034001!16s%2Fg%2F11f7sszybb!19sChIJaZfPjzqFGUcR8-KthQ9-170?authuser=0&hl=pl&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
